title,year,venue,authors,n_authors,doi,arxiv,citations,type,oa,url,sources,query_sets,phrases,abstract,decision,reason_code,supervision,zs_claim,task,llm_role,observation,scene_repr,benchmark,sr,spl,real_robot,code_available,notes
ZSORN: Language-Driven Object-Centric Zero-Shot Object Retrieval and Navigation,2025,IEEE International Conference on Robotics and Automation,Tianrui Guan; Yurou Yang; Harry Cheng; Muyuan Lin et al.,8,10.1109/ICRA55743.2025.11128436,,4,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/1b5e975c3d6f6879959d538ef7e47a90d42c2439,s2,recall|zeroshot,object navigation|zero-shot object navigation,"In this paper, we present ZSORN, a novel language-driven object-centric image representation for object retrieval and navigation task within complex scenes. We propose an object-centric image representation and corresponding losses for visual-language model (VLM) fine-tuning, which can handle complex object-level queries. In addition, we design a novel LLM-based augmentation and prompt templates for stability during training and zero-shot inference. We implement our method on Astro robot and deploy it in both simulated and real-world environments for zero-shot object navigation. We show that our proposed method can achieve an improvement of 1.38 - 13.38% in terms of text-to-image recall on different benchmark settings for the retrieval task. For object navigation, we show the benefit of our approach in simulation and real world, showing 5% and 16.67% improvement in terms of navigation success rate, respectively.",include,,,candidate,,,,,,,,,,
Look Before Acting: Enhancing Vision Foundation Representations for Vision-Language-Action Models,2026,arXiv.org,Yulin Luo; Hao Chen; Zhuangzhe Wu; Bowen Sui et al.,13,10.48550/arXiv.2603.15618,2603.15618,4,JournalArticle,True,https://www.semanticscholar.org/paper/1e13e9300360582421d5aa200437d8a6cc0324ac,arxiv|dblp|openalex|s2,recall,vision-language-action model,"Vision-Language-Action (VLA) models have recently emerged as a promising paradigm for robotic manipulation, in which reliable action prediction critically depends on accurately interpreting and integrating visual observations conditioned on language instructions. Although recent works have sought to enhance the visual capabilities of VLA models, most approaches treat the LLM backbone as a black box, providing limited insight into how visual information is grounded into action generation. Therefore, we perform a systematic analysis of multiple VLA models across different action-generation paradigms and observe that sensitivity to visual tokens progressively decreases in deeper layers during action generation. Motivated by this observation, we propose \textbf{DeepVision-VLA}, built on a \textbf{Vision-Language Mixture-of-Transformers (VL-MoT)} framework. This framework enables shared attention between the vision foundation model and the VLA backbone, injecting multi-level visual features from the vision expert into deeper layers of the VLA backbone to enhance visual representations for precise and complex manipulation. In addition, we introduce \textbf{Action-Guided Visual Pruning (AGVP)}, which leverages shallow-layer attention to prune irrelevant visual tokens while preserving task-relevant ones, reinforcing critical visual cues for manipulation with minimal computational overhead. DeepVision-VLA outperforms prior state-of-the-art methods by 9.0\% and 7.5\% on simulated and r",exclude,EC3,,,,,,,,,,,,
OpenMap: Instruction Grounding via Open-Vocabulary Visual-Language Mapping,2025,ACM Multimedia,Danyang Li; Zeng-Hui Yang; Guangpeng Qi; Songtao Pang et al.,7,10.1145/3746027.3754887,2508.01723,4,"Book,JournalArticle",True,https://www.semanticscholar.org/paper/219d272dedbe1f25366bf27ac0f77aee3d2d0f68,arxiv|openalex|s2,enabler|recall,(s2 bulk)|embodied navigation|open-vocabulary map|visual language map,"Grounding natural language instructions to visual observations is fundamental for embodied agents operating in open-world environments. Recent advances in visual-language mapping have enabled generalizable semantic representations by leveraging visionlanguage models (VLMs). However, these methods often fall short in aligning free-form language commands with specific scene instances, due to limitations in both instance-level semantic consistency and instruction interpretation. We present OpenMap, a zero-shot open-vocabulary visual-language map designed for accurate instruction grounding in navigation tasks. To address semantic inconsistencies across views, we introduce a Structural-Semantic Consensus constraint that jointly considers global geometric structure and vision-language similarity to guide robust 3D instancelevel aggregation. To improve instruction interpretation, we propose an LLM-assisted Instruction-to-Instance Grounding module that enables fine-grained instance selection by incorporating spatial context and expressive target descriptions. We evaluate OpenMap on ScanNet200 and Matterport3D, covering both semantic mapping and instruction-to-target retrieval tasks. Experimental results show that OpenMap outperforms state-of-the-art baselines in zero-shot settings, demonstrating the effectiveness of our method in bridging free-form language and 3D perception for embodied navigation.",include,,,candidate,,,,,,,,,,
CoMaTrack: Competitive Multi-Agent Game-Theoretic Tracking with Vision-Language-Action Models,2026,arXiv.org,Youzhi Liu; Linze Gao; Liu Liu; Mingyang Lv et al.,5,10.48550/arXiv.2603.22846,2603.22846,4,JournalArticle,True,https://www.semanticscholar.org/paper/22ae7d115c6ea272ebb6a34d3ae6bd3df374f64e,arxiv|openalex|s2,recall,vision-language-action model,"Embodied Visual Tracking (EVT), a core dynamic task in embodied intelligence, requires an agent to precisely follow a language-specified target. Yet most existing methods rely on single-agent imitation learning, suffering from costly expert data and limited generalization due to static training environments. Inspired by competition-driven capability evolution, we propose CoMaTrack, a competitive game-theoretic multi-agent reinforcement learning framework that trains agents in a dynamic adversarial setting with competitive subtasks, yielding stronger adaptive planning and interference-resilient strategies. We further introduce CoMaTrack-Bench, the first open-source Habitat-based benchmark protocol and episode set for language-conditioned competitive EVT featuring dynamic dueling, featuring game scenarios between a tracker and adaptive opponents across diverse environments and instructions, enabling standardized robustness evaluation under active adversarial interactions. Experiments show that CoMaTrack achieves state-of-the-art results on both standard benchmarks and CoMaTrack-Bench. Notably, a 3B VLM trained with our framework surpasses previous single-agent imitation learning methods based on 7B models on the challenging EVT-Bench, achieving 92.1% in STT, 74.2% in DT, and 57.5% in AT. The benchmark code will be available at https://github.com/wlqcode/CoMaTrack-Bench.",exclude,EC4,,,,,,,,,,,,
StableVLA: Towards Robust Vision-Language-Action Models without Extra Data,2026,arXiv.org,Yi Fu; Chubin Zhang; Shukai Gong; Yu Deng et al.,10,10.48550/arXiv.2605.18287,2605.18287,4,JournalArticle,True,https://www.semanticscholar.org/paper/297f91c46c3cda6e1d11404ed881da5bfc915897,arxiv|openalex|s2,recall,vision-language-action model,"It is infeasible to encompass all possible disturbances within the training dataset. This raises a critical question regarding the robustness of Vision-Language-Action (VLA) models when encountering unseen real-world visual disturbances, particularly under imperfect visual conditions. In this work, we conduct a systematic study based on recent state-of-the-art VLA models and reveal a significant performance drop when visual disturbances absent from the training data are introduced. To mitigate this issue, we propose a lightweight adapter module grounded in information theory, termed the Information Bottleneck Adapter (IB-Adapter), which selectively filters potential noise from visual inputs. Without requiring any extra data or augmentation strategies, IB-Adapter consistently improves over the baseline by an average of 30%, while adding fewer than 10M parameters, demonstrating notable efficiency and effectiveness. Furthermore, even with a 14x smaller backbone (0.5B parameters) and no pre-training on the Open X-Embodiment dataset, our model StableVLA achieves robustness competitive with 7B-scale state-of-the-art VLAs. With negligible parameter overhead (<10M), our approach maintains accuracy on long-horizon tasks and surpasses OpenPi under both synthetic and physical visual corruptions.",exclude,EC4,,,,,,,,,,,,
UAV-Track VLA: Embodied Aerial Tracking via Vision-Language-Action Models,2026,arXiv.org,Qiyao Zhang; Shuhua Zheng; Jianli Sun; Chengxiang Li et al.,9,10.48550/arXiv.2604.02241,2604.02241,4,JournalArticle,True,https://www.semanticscholar.org/paper/2f0f646894e03e3fe427f55eed2c97f8cdbb79df,arxiv|openalex|s2,recall,vision-language-action model,"Embodied visual tracking is crucial for Unmanned Aerial Vehicles (UAVs) executing complex real-world tasks. In dynamic urban scenarios with complex semantic requirements, Vision-Language-Action (VLA) models show great promise due to their cross-modal fusion and continuous action generation capabilities. To benchmark multimodal tracking in such environments, we construct a dedicated evaluation benchmark and a large-scale dataset encompassing over 890K frames, 176 tasks, and 85 diverse objects. Furthermore, to address temporal feature redundancy and the lack of spatial geometric priors in existing VLA models, we propose an improved VLA tracking model, UAV-Track VLA. Built upon the $\pi_{0.5}$ architecture, our model introduces a temporal compression net to efficiently capture inter-frame dynamics. Additionally, a parallel dual-branch decoder comprising a spatial-aware auxiliary grounding head and a flow matching action expert is designed to decouple cross-modal features and generate fine-grained continuous actions. Systematic experiments in the CARLA simulator validate the superior end-to-end performance of our method. Notably, in challenging long-distance pedestrian tracking tasks, UAV-Track VLA achieves a 61.76\% success rate and 269.65 average tracking frames, significantly outperforming existing baselines. Furthermore, it demonstrates robust zero-shot generalization in unseen environments and reduces single-step inference latency by 33.4\% (to 0.0571s) compared to the origi",exclude,EC4,,candidate,,,,,,,,,,
Distilling LLM Prior to Flow Model for Generalizable Agent's Imagination in Object Goal Navigation,2025,Neural Information Processing Systems,Badi Li; Renjie Lu; Yu Zhou; Jingke Meng et al.,5,10.48550/arXiv.2508.09423,2508.09423,4,JournalArticle,True,https://www.semanticscholar.org/paper/3005e70e2b84ee026a437574c289ffdffff0221e,arxiv|crossref|dblp|openalex|openreview|s2,recall,object goal navigation,"The Object Goal Navigation (ObjectNav) task challenges agents to locate a specified object in an unseen environment by imagining unobserved regions of the scene. Prior approaches rely on deterministic and discriminative models to complete semantic maps, overlooking the inherent uncertainty in indoor layouts and limiting their ability to generalize to unseen environments. In this work, we propose GOAL, a generative flow-based framework that models the semantic distribution of indoor environments by bridging observed regions with LLM-enriched full-scene semantic maps. During training, spatial priors inferred from large language models (LLMs) are encoded as two-dimensional Gaussian fields and injected into target maps, distilling rich contextual knowledge into the flow model and enabling more generalizable completions. Extensive experiments demonstrate that GOAL achieves state-of-the-art performance on MP3D and Gibson, and shows strong generalization in transfer settings to HM3D. Codes and pretrained models are available at https://github.com/Badi-Li/GOAL.",include,,,,ObjectNav,,,,,,,,,
Uncertainty Quantification for Flow-Based Vision-Language-Action Models,2026,arXiv.org,Ralf Romer; Maximilian Seeliger; Sai-Da Liu; Ben Sturgis et al.,8,10.48550/arXiv.2606.18043,2606.18043,4,JournalArticle,True,https://www.semanticscholar.org/paper/4070914982311537d23390bcdbd4eebaaa3ed6fa,arxiv|openalex|s2,recall,vision-language-action model,"Vision-language-action models (VLAs) combine vision-language backbones with expressive generative action heads trained via flow matching on large-scale robotic datasets. Despite their strong empirical performance in robotic manipulation, VLAs lack mechanisms to quantify confidence in their predictions and to detect when their actions may be unreliable. This presents a critical limitation for real-world deployment in non-stationary environments, where models inevitably encounter scenarios outside their pretraining distribution and may fail without warning. To address this, we derive an efficient method for quantifying epistemic uncertainty in flow-matching models by leveraging velocity-field disagreement (VFD) across a small ensemble. We successfully use this uncertainty estimate for failure detection during deployment and active fine-tuning of flow-based VLAs. To this end, we propose SAVE, a framework for uncertainty-guided active multitask fine-tuning that reduces the number of costly expert demonstrations required to adapt VLAs to new tasks. Through extensive experiments on the LIBERO benchmark, we demonstrate that VFD yields better-calibrated uncertainty estimates predictive of downstream performance, that VFD achieves strong performance in detecting failures, and that uncertainty-guided data acquisition with SAVE requires at least 22% fewer samples than baselines. In summary, our work shows that quantifying epistemic uncertainty in flow-based VLAs improves both failure aw",exclude,EC3,,,,,,,,,,,,
HiST-VLA: A Hierarchical Spatio-Temporal Vision-Language-Action Model for End-to-End Autonomous Driving,2026,arXiv.org,Yiru Wang; Zichong Gu; Yu Gao; Anqing Jiang et al.,8,10.48550/arXiv.2602.13329,2602.13329,4,JournalArticle,True,https://www.semanticscholar.org/paper/45f6a286543c9b5884f7588addbfd4197ff68754,openalex|s2,recall,vision-language-action model,"Vision-Language-Action (VLA) models offer promising capabilities for autonomous driving through multimodal understanding. However, their utilization in safety-critical scenarios is constrained by inherent limitations, including imprecise numerical reasoning, weak 3D spatial awareness, and high sensitivity to context. To address these challenges, we propose HiST-VLA, a novel Hierarchical Spatio-Temporal VLA model designed for reliable trajectory generation. Our framework enhances 3D spatial and temporal reasoning by integrating geometric awareness with fine-grained driving commands and state history prompting. To ensure computational efficiency, we integrate dynamic token sparsification into the VLA architecture. This approach fuses redundant tokens rather than filtering them, effectively reducing redundancy without sacrificing model performance. Furthermore, we employ a hierarchical transformer-based planner to progressively refine coarse VLA waypoints into fine-grained trajectories. Crucially, the planner utilizes dynamic latent regularization to incorporate language commands, ensuring strict spatial grounding and temporal coherence. Extensive evaluation on the NAVSIM v2 benchmark demonstrates state-of-the-art performance on Navtest, achieving an EPDMS of 88.6, and EPDMS of 50.9 on pseudo closed-loop Navhard benchmark.",exclude,EC5,,,,,,,,,,,,
DTP: A Simple yet Effective Distracting Token Pruning Framework for Vision-Language Action Models,2026,arXiv.org,Chenyang Li; Jie Liu; Bin Li; Bo Gao et al.,8,10.48550/arXiv.2601.16065,2601.16065,4,JournalArticle,True,https://www.semanticscholar.org/paper/48421a938d47b2baa265a909707ff9c71a0e86b8,openalex|s2,recall,(s2 bulk)|vision-language-action model,"Vision-Language Action (VLA) models have shown remarkable progress in robotic manipulation by leveraging the powerful perception abilities of Vision-Language Models (VLMs) to understand environments and directly output actions. However, by default, VLA models may overly attend to image tokens in the task-irrelevant region, which we describe as'distracting tokens'. This behavior can disturb the model from the generation of the desired action tokens in each step, affecting the success rate of tasks. In this paper, we introduce a simple yet effective plug-and-play Distracting Token Pruning (DTP) framework, which dynamically detects and prunes these distracting image tokens. By correcting the model's visual attention patterns, we aim to improve the task success rate, as well as exploring the performance upper boundaries of the model without altering its original architecture or adding additional inputs. Experiments on the SIMPLER Benchmark (Li et al., 2024) show that our method consistently achieving relative improvements in task success rates across different types of novel VLA models, demonstrating generalizability to transformer-based VLAs. Further analysis reveals a negative correlation between the task success rate and the amount of attentions in the task-irrelevant region for all models tested, highlighting a common phenomenon of VLA models that could guide future research. We also publish our code at: https://anonymous.4open.science/r/CBD3.",exclude,EC3,,,,,,,,,,,,
Will multimodal large language models ever achieve deep understanding of the world?,2025,Frontiers in Systems Neuroscience,Igor Farkaš; Michal Vavrecka; S. Wermter,3,10.3389/fnsys.2025.1683133,,4,JournalArticle,True,https://www.semanticscholar.org/paper/4abdc511b19ce953e4e2226bbb5063e5a64cc95e,openalex|s2,recall,(s2 bulk)|vision-language-action model,"Despite impressive performance in various tasks, large language models (LLMs) are subject to the symbol grounding problem, so from the cognitive science perspective, one can argue that they are merely statistics-driven distributional models without a deeper understanding. Modern multimodal versions of LLMs (MLLMs) are trying to avoid this problem by linking language knowledge with other modalities such as vision (Vision Language Models called VLM) or action (Vision Language Action Models called VLA) when, for instance, a robotic agent, is acting in the world. If eventually successful, MLLMs could be taken as pathway for symbol grounding. In this work, we explore the extent to which MLLMs integrated with embodied agents can achieve such grounded understanding through interaction with the physical world. We argue that closing the gap between symbolic tokens, neural representations, and embodied experience will require deeper developmental integration of continuous sensory data, goal-directed behavior, and adaptive neural learning in real-world environments. We raise a concern that MLLMs do not currently achieve a human-like level of deep understanding, largely because their random learning trajectory deviates significantly from human cognitive development. Humans typically acquire knowledge incrementally, building complex concepts upon simpler ones in a structured developmental progression. In contrast, MLLMs are often trained on vast, randomly ordered datasets. This non-develo",exclude,EC4,,,,,,,,,,,,
MoIRA: Modular Instruction Routing Architecture for Multi-Task Robotics,2025,Neurocomputing,Dmytro Kuzmenko; Nadiya Shvai,2,10.1016/j.neucom.2026.132962,2507.01843,4,JournalArticle,True,https://www.semanticscholar.org/paper/4f7f0ab7fbc011036aef9051fb12e97fd87a3b8c,openalex|s2,recall,vision-language-action model,"Mixture-of-Experts (MoE) approaches have recently gained traction in robotics applications due to their ability to dynamically allocate computational resources and specialize sub-networks for distinct tasks or environmental contexts, enabling more efficient decision-making. Such systems often comprise sparsely activated experts combined under a single monolithic architecture and require a well-configured internal routing mechanism, which does not allow for selective low-level expert and router customization and requires additional training. We propose MoIRA, an architecture-agnostic modular MoE framework designed to coordinate existing experts with an external text-based router. MoIRA incorporates two zero-shot routing options: embedding-based similarity and prompt-driven language model inference. In our experiments, we choose large Vision-Language-Action models, gr00t-N1 and $\pi_0$, as the underlying experts, and train low-rank adapters for low-overhead inference. We evaluate MoIRA on various GR1 Humanoid tasks and LIBERO Spatial and Goal benchmarks, where it consistently outperforms generalist models and competes with other MoE pipelines. Additionally, we analyse the robustness of the proposed approach to the variations of the instructions. While relying solely on textual descriptions of tasks and experts, MoIRA demonstrates the practical viability of modular deployment with precise, low-effort routing and provides an alternative, scalable foundation for future multi-exper",exclude,EC4,,candidate,,,,,,,,,,
EveryDayVLA: A Vision-Language-Action Model for Affordable Robotic Manipulation,2025,arXiv.org,Samarth Chopra; Alex McMoil; Ben Carnovale; Evan Sokolson et al.,6,10.48550/arXiv.2511.05397,2511.05397,4,JournalArticle,True,https://www.semanticscholar.org/paper/52a199f607c26022e1f78e14ceeb4bcd9d64d698,openalex|s2,recall,vision-language-action model,"While Vision-Language-Action (VLA) models map visual inputs and language instructions directly to robot actions, they often rely on costly hardware and struggle in novel or cluttered scenes. We introduce EverydayVLA, a 6-DOF manipulator that can be assembled for under $300, capable of modest payloads and workspace. A single unified model jointly outputs discrete and continuous actions, and our adaptive-horizon ensemble monitors motion uncertainty to trigger on-the-fly re-planning for safe, reliable operation. On LIBERO, EverydayVLA matches state-of-the-art success rates, and in real-world tests it outperforms prior methods by 49% in-distribution and 34.9% out-of-distribution. By combining a state-of-the-art VLA with cost-effective hardware, EverydayVLA democratizes access to a robotic foundation model and paves the way for economical use in homes and research labs alike. Experiment videos and details: https://everydayvla.github.io/",exclude,EC3,,,,,,,,,,,,
AugVLA-3D: Depth-Driven Feature Augmentation for Vision-Language-Action Models,2026,arXiv.org,Zhifeng Rao; Wenlong Chen; Lei Xie; Xia Hua et al.,7,10.48550/arXiv.2602.10698,2602.10698,4,JournalArticle,True,https://www.semanticscholar.org/paper/531bc5567d35a13b2339322970431cd9bbc03ac6,openalex|s2,recall,vision-language-action model,"Vision-Language-Action (VLA) models have recently achieved remarkable progress in robotic perception and control, yet most existing approaches primarily rely on VLM trained using 2D images, which limits their spatial understanding and action grounding in complex 3D environments. To address this limitation, we propose a novel framework that integrates depth estimation into VLA models to enrich 3D feature representations. Specifically, we employ a depth estimation baseline called VGGT to extract geometry-aware 3D cues from standard RGB inputs, enabling efficient utilization of existing large-scale 2D datasets while implicitly recovering 3D structural information. To further enhance the reliability of these depth-derived features, we introduce a new module called action assistant, which constrains the learned 3D representations with action priors and ensures their consistency with downstream control tasks. By fusing the enhanced 3D features with conventional 2D visual tokens, our approach significantly improves the generalization ability and robustness of VLA models. Experimental results demonstrate that the proposed method not only strengthens perception in geometrically ambiguous scenarios but also leads to superior action prediction accuracy. This work highlights the potential of depth-driven data augmentation and auxiliary expert supervision for bridging the gap between 2D observations and 3D-aware decision-making in robotic systems.",exclude,EC4,,,,,,,,,,,,
Lifelong Embodied Navigation Learning,2026,arXiv.org,Xudong Wang; Jiahua Dong; Baicheng Liu; Qi Lyu et al.,6,10.48550/arXiv.2603.06073,2603.06073,4,JournalArticle,True,https://www.semanticscholar.org/paper/60f02446c3123302eab6301196caa17ef3087b52,arxiv|dblp|openalex|openreview|s2,recall,embodied navigation,"Embodied navigation agents powered by large language models have shown strong performance on individual tasks but struggle to continually acquire new navigation skills, which suffer from catastrophic forgetting. We formalize this challenge as lifelong embodied navigation learning (LENL), where an agent is required to adapt to a sequence of navigation tasks spanning multiple scenes and diverse user instruction styles, while retaining previously learned knowledge. To tackle this problem, we propose Uni-Walker, a lifelong embodied navigation framework that decouples navigation knowledge into task-shared and task-specific components with Decoder Extension LoRA (DE-LoRA). To learn the shared knowledge, we design a knowledge inheritance strategy and an experts co-activation strategy to facilitate shared knowledge transfer and refinement across multiple navigation tasks. To learn the specific knowledge, we propose an expert subspace orthogonality constraint together and a navigation-specific chain-of-thought reasoning mechanism to capture specific knowledge and enhance instruction-style understanding. Extensive experiments demonstrate the superiority of Uni-Walker for building universal navigation agents with lifelong learning.",exclude,EC2,,,,,,,,,,,,
X-RepSLAM: VLM-Driven Adaptive Cross-Representation Visual SLAM,2025,IEEE Transactions on Automation Science and Engineering,Shilang Chen; Sehua Ji; Lei Zhu; Xuefeng Zhou et al.,7,10.1109/TASE.2025.3599888,,4,JournalArticle,True,https://www.semanticscholar.org/paper/68b15631b68321f6adbe81f2556f1078ca4e6f14,s2,recall,(s2 bulk),"Visual Simultaneous Localization and Mapping (VSLAM) is a critical technology for autonomous driving and mobile robotics. Traditional VSLAM methods based on discrete representations, such as point clouds, offer high computational efficiency and excellent localization accuracy, but they exhibit limited robustness. In contrast, methods employing field representations, like Neural Radiance Fields (NeRF) and 3D Gaussian Splatting (3D GS), provide greater robustness at the expense of increased computational demands and reduced localization accuracy. Hybrid VSLAM approaches that attempt to combine these representations typically rely on serial, synchronous cascades, which compromise robustness, computational efficiency, and GPU memory usage. This paper introduces a novel adaptive cross-representation VSLAM framework that applies different representation modeling techniques to distinct regions of an image sequence and adopts asynchronous parallel modeling in overlapping regions. A Vision Language Model (VLM) is used to analyze the image sequence, enabling the detection of representation modeling regions and adaptive switching between representations. Cross-representation data association is performed through a coarse-to-fine feature selection process, resulting in a globally consistent map. The proposed method is evaluated on both public and custom-collected datasets, where experimental results show that it surpasses state-of-the-art methods in terms of robustness, computational eff",exclude,EC4,,,,,,,,,,,,
MPVO: Motion-Prior based Visual Odometry for PointGoal Navigation,2024,ECCV Workshops,S. Paul; R. Roychoudhury; Brojeshwar Bhowmick,3,10.48550/arXiv.2411.04796,2411.04796,4,JournalArticle,True,https://www.semanticscholar.org/paper/6c2053dcda54176c2b73ac1cce588693fee85ac2,arxiv|openalex|openreview|s2,recall,(s2 bulk)|embodied navigation|objectgoal navigation,"Visual odometry (VO) is essential for enabling accurate point-goal navigation of embodied agents in indoor environments where GPS and compass sensors are unreliable and inaccurate. However, traditional VO methods face challenges in wide-baseline scenarios, where fast robot motions and low frames per second (FPS) during inference hinder their performance, leading to drift and catastrophic failures in point-goal navigation. Recent deep-learned VO methods show robust performance but suffer from sample inefficiency during training; hence, they require huge datasets and compute resources. So, we propose a robust and sample-efficient VO pipeline based on motion priors available while an agent is navigating an environment. It consists of a training-free action-prior based geometric VO module that estimates a coarse relative pose which is further consumed as a motion prior by a deep-learned VO model, which finally produces a fine relative pose to be used by the navigation policy. This strategy helps our pipeline achieve up to 2x sample efficiency during training and demonstrates superior accuracy and robustness in point-goal navigation tasks compared to state-of-the-art VO method(s). Realistic indoor environments of the Gibson dataset is used in the AI-Habitat simulator to evaluate the proposed approach using navigation metrics (like success/SPL) and pose metrics (like RPE/ATE). We hope this method further opens a direction of work where motion priors from various sources can be util",exclude,EC1,,candidate,,,,,,,,,,
SafeVLA-Bench: A Benchmark for the Success-Safety Gap in Vision-Language-Action Models,2026,arXiv.org,Jialiang Fan; Weizhe Xu; O. Sokolsky; Insup Lee et al.,5,10.48550/arXiv.2606.00773,2606.00773,4,JournalArticle,True,https://www.semanticscholar.org/paper/83c66c30a5ebb518dc20fa1d3b1123787219640d,arxiv|openalex|s2,recall,vision-language-action model,"Vision-language-action (VLA) benchmarks measure whether a policy completes a requested manipulation task, but binary success can hide safety-relevant trajectory behavior: reaching the goal while applying excessive contact, disturbing bystander objects, destabilizing the held object, or entering robot self-contact. We present SafeVLA-Bench, a post-hoc safety-evaluation framework for existing simulator-based VLA benchmarks. It formalizes task-aware safety requirements as Signal Temporal Logic (STL) specifications and reports native success with two unsafe-success metrics: Succ-But-Unsafe (SBU), the fraction of rollouts that both succeed and violate safety, and Violation Severity Index (VSI), a bounded worst-violation depth score. We instantiate SafeVLA-Bench on LIBERO and RoboCasa-365, evaluating nine policy-benchmark entries across tabletop and kitchen manipulation tasks. High task success does not imply safe execution: high-SR tabletop baselines still leave 13 to 15 percent unsafe-episode rates,and 36 to 56 percent of successful RoboCasa-365 rollouts violate at least one active safety clause. Project page: https://safevla.org.",exclude,EC3,,,,,,,,,,,,
Characterizing Vision-Language-Action Models across XPUs: Constraints and Acceleration for On-Robot Deployment,2026,arXiv.org,Kaijun Zhou; Qiwei Chen; Dajiang Peng; Zhiyang Li et al.,6,10.48550/arXiv.2604.24447,2604.24447,4,JournalArticle,True,https://www.semanticscholar.org/paper/85a0406fe5a99201d23c89b086e59e2ea38307c1,arxiv|openalex|openreview|s2,recall,vision-language-action model,"Vision-Language-Action (VLA) models are promising for generalist robot control, but on-robot deployment is bottlenecked by real-time inference under tight cost and energy budgets. Most prior evaluations rely on desktop-grade GPUs, obscuring the trade-offs and opportunities offered by heterogeneous edge accelerators (GPUs/XPUs/NPUs). We present a systematic analysis for low-cost VLA deployment via model-hardware co-characterization. First, we build a cross-accelerator leaderboard and evaluate model-hardware pairs under CET (Cost, Energy, Time), showing that right-sized edge devices can be more cost-/energy-efficient than flagship GPUs while meeting control-rate constraints. Second, using in-depth profiling, we uncover a consistent two-phase inference pattern: a compute-bound VLM backbone followed by a memory-bound Action Expert, which induces phase-dependent underutilization and hardware inefficiency. Finally, guided by these insights, we propose DP-Cache and V-AEFusion to reduce diffusion redundancy and enable asynchronous pipeline parallelism, achieving up to 2.9x speedup on GPUs and 6x on edge NPUs with only marginal success degradation. The example leaderboard website is available at: https://vla-leaderboard-01.vercel.app/.",exclude,EC4,,,,,,,,,,,,
Seeing through Uncertainty: Robust Task-Oriented Optimization in Visual Navigation,2025,Advances in Neural Information Processing Systems 38,Yiyuan Pan; Yunzhe Xu; Zhe Liu; Hesheng Wang,4,10.48550/arXiv.2510.00441,2510.00441,4,JournalArticle,True,https://www.semanticscholar.org/paper/8870d673387d85157391aa01bc315295e937e867,arxiv|openalex|openreview|s2,recall,object navigation,"Visual navigation is a fundamental problem in embodied AI, yet practical deployments demand long-horizon planning capabilities to address multi-objective tasks. A major bottleneck is data scarcity: policies learned from limited data often overfit and fail to generalize OOD. Existing neural network-based agents typically increase architectural complexity that paradoxically become counterproductive in the small-sample regime. This paper introduce NeuRO, a integrated learning-to-optimize framework that tightly couples perception networks with downstream task-level robust optimization. Specifically, NeuRO addresses core difficulties in this integration: (i) it transforms noisy visual predictions under data scarcity into convex uncertainty sets using Partially Input Convex Neural Networks (PICNNs) with conformal calibration, which directly parameterize the optimization constraints; and (ii) it reformulates planning under partial observability as a robust optimization problem, enabling uncertainty-aware policies that transfer across environments. Extensive experiments on both unordered and sequential multi-object navigation tasks demonstrate that NeuRO establishes SoTA performance, particularly in generalization to unseen environments. Our work thus presents a significant advancement for developing robust, generalizable autonomous agents.",exclude,EC1,,,,,,,,,,,,
GrndCtrl: Grounding World Models via Self-Supervised Reward Alignment,2025,arXiv.org,Haoyang He; Jay Patrikar; Dong-Ki Kim; Max Smith et al.,8,10.48550/arXiv.2512.01952,2512.01952,4,JournalArticle,True,https://www.semanticscholar.org/paper/88cef5be29163a8b6c80965c351a9f7abb34efaa,arxiv|openalex|s2,recall,embodied navigation,"Recent advances in video world modeling have enabled large-scale generative models to simulate embodied environments with high visual fidelity, providing strong priors for prediction, planning, and control. Yet, despite their realism, these models often lack geometric grounding, limiting their use in navigation tasks that require spatial coherence and stability. We introduce Reinforcement Learning with World Grounding (RLWG), a self-supervised post-training framework that aligns pretrained world models with a physically verifiable structure through geometric and perceptual rewards. Analogous to reinforcement learning from verifiable feedback (RLVR) in language models, RLWG can use multiple rewards that measure pose cycle-consistency, depth reprojection, and temporal coherence. We instantiate this framework with GrndCtrl, a reward-aligned adaptation method based on Group Relative Policy Optimization (GRPO), yielding world models that maintain stable trajectories, consistent geometry, and reliable rollouts for embodied navigation. Like post-training alignment in large language models, GrndCtrl leverages verifiable rewards to bridge generative pretraining and grounded behavior, achieving superior spatial coherence and navigation stability over supervised fine-tuning in outdoor environments.",include,,,,,,,,,,,,,
