title,year,venue,authors,n_authors,doi,arxiv,citations,type,oa,url,sources,query_sets,phrases,abstract
"SafeFix-Agent: Diff-Only LLM Remediation for Infrastructure-as-Code with Policy, Test, and Sandbox Gates",2026,2026 International Conference on Innovations in Emerging Technologies for Sustainable Development (ICIETSD),Akshitha Segireddy; A. Joshi,2,10.1109/ICIETSD68684.2026.11584684,,0,Conference,True,https://www.semanticscholar.org/paper/de5d2dce03ef22c59c24d45e159fdcd64ec8f3b8,s2,enabler,(s2 bulk),"Misconfigured Clouds are one of the most frequent causes of breaches in the field of computer science. However, many organizations delay resolving these problems because they are concerned about the risks and operational costs associated with modifying their production systems. A recent trend in the area of “Auto-Fix” for Infrastructure-asCode (IaC) configurations, which uses Large Language Models (LLMs), has demonstrated the ability to generate potential IaC configuration patches. These auto-generated configuration patches can also appear plausible and reasonable. However, naive ungated remediation is risky; the proposed fix may not meet the organization's policies, could unintentionally increase exposure, or cause a functional breakdown in the system. SafeFixAgent is a remediation pipeline that generates only Terraform patches as diffs and employs safety-by-construction through three deterministic gates: (i) Policy-as-code approval of the diff of the patch, (ii) Static Validation/ Semantic Plan Check of the diff of the patch for breakage, and (iii) An Ephemeral Sandbox Apply with Smoke Testing/Auto-Cleanup. SafeFix-Agent uses a standard Pull Request (PR) workflow to log audits and provide explainable reasons for denials when any of the gates reject a proposal. We evaluated SafeFix-Agent on a set of representative cloud misconfiguration classes and compared it to two baseline approaches: LLM-only and partially gated. Our results indicate that multiple-stage gating significan"
Systems programming the model,2026,AI &amp; SOCIETY,T. Shoemaker,1,10.1007/s00146-026-02897-y,,1,"JournalArticle,Review",True,https://www.semanticscholar.org/paper/e037d64e601a5a4260d1b93409e0c482ebf2905c,s2,enabler,(s2 bulk),"
 This paper examines the status of the language model object in generative AI, arguing that what we call a ‘model’ is inseparable from the systems deploying it. I first theorize how these objects emerge from systems-level interactions between trained artifacts, prompting mechanisms, and sampling methods, drawing on the philosophy of digital objects as well as software studies to show how models gain their objective character. Such interactions converge on programming, not prompting, language models, and I illustrate how critical code studies can therefore track these dynamics. In an overview of language model programming approaches, I discuss how prompt and program converge, demonstrating how this confluence tends toward the production of new feedback loops wherein models become models of and for themselves. Understanding these feedback loops is essential in view of recent efforts to infrastructuralize AI, in which multiple models cascade into compound systems that abstract toward a unified model of models. Thus the need, I argue, for a systems-level view that can address this new order of abstraction and complexity by identifying where and how the model emerges from the system."
Language-Grounded Dynamic Scene Graphs for Interactive Object Search With Mobile Manipulation,2024,IEEE Robotics and Automation Letters,Daniel Honerkamp; Martin Buchner; Fabien Despinoy; T. Welschehold et al.,5,10.1109/LRA.2024.3441495,2403.08605,131,JournalArticle,True,https://www.semanticscholar.org/paper/e0cbbf3460ca16d27269966fefcb9f4954cc293c,s2,enabler,open-vocabulary scene graph,"To fully leverage the capabilities of mobile manipulation robots, it is imperative that they are able to autonomously execute long-horizon tasks in large unexplored environments. While large language models (LLMs) have shown emergent reasoning skills on arbitrary tasks, existing work primarily concentrates on explored environments, typically focusing on either navigation or manipulation tasks in isolation. In this work, we propose MoMa-LLM, a novel approach that grounds language models within structured representations derived from open-vocabulary scene graphs, dynamically updated as the environment is explored. We tightly interleave these representations with an object-centric action space. Given object detections, the resulting approach is zero-shot, open-vocabulary, and readily extendable to a spectrum of mobile manipulation and household robotic tasks. We demonstrate the effectiveness of MoMa-LLM in a novel semantic interactive search task in large realistic indoor environments. In extensive experiments in both simulation and the real world, we show substantially improved search efficiency compared to conventional baselines and state-of-the-art approaches, as well as its applicability to more abstract tasks."
Guiding officers to deflect citizens to treatment: an examination of police department policies in Illinois,2023,Health & Justice,Jessica Reichert; S. Adams; Jirka Taylor; Brandon del Pozo,4,10.1186/s40352-023-00207-y,,13,JournalArticle,True,https://www.semanticscholar.org/paper/e16516f0252388ddd9d799a38ec1ef3ec9391b6d,s2,enabler,(s2 bulk),"Background The U.S. overdose crisis has motivated police departments to enact policies allowing officers to directly deflect individuals to substance use disorder treatment and other services shown to reduce recidivism and subsequent overdose risk, as well as refer people who voluntarily present at police facilities with a desire for treatment. As a new way of operating, and one that relies on an officer’s use of discretion for successful implementation, the practice benefits from guidance through written directives, training, and supervisory support. However, there is little information on the establishment, content, and execution of police department deflection policies, which hampers the implementation and dissemination of this promising practice. We analyzed 16 policies of Illinois police department deflection programs. Using content analysis methodology, we coded the policies for language and terminology, as well as program components and procedures. We aimed to examine how the policies were written, as well as the content intending to guide officers in their work. Results We found the policies and programs had notable differences in length, detail, terminology, and reading level. Only one policy mentioned the use of any type of addiction treatment medication, many used stigmatizing language (e.g., “abuse” and “addict”), and few mentioned “harm reduction” or training in the practice of deflection. Many policies restricted participation in deflection (i.e., no minors, out"
Report on the Data and Code Availability Policy,2026,AEA Papers and Proceedings,,0,10.1257/pandp.116.905,,0,JournalArticle,True,https://www.semanticscholar.org/paper/e179f22368736ba6b8da732cb45a050d4f66c4f5,s2,enabler,(s2 bulk),
Macro-level facilitators and impediments to fertility transition in Ethiopia: implications for reorienting family planning towards sustainable development,2026,Reproductive Health,T. Gebremariam; M. Molla; W. Mekonnen,3,10.1186/s12978-026-02307-y,,0,"JournalArticle,Review",True,https://www.semanticscholar.org/paper/e1d89382b9e3e15b291a33b95fa55cb5956c977d,s2,enabler,(s2 bulk),"Fertility transition is essential for health and development, yet Ethiopia continues to face high fertility and rapid population growth. Due to limited evidence on macro-level derivers of fertility, this study assesses Ethiopia’s readiness and implementation capacity for fertility transition, alongside structural and programmatic barriers. A convergent parallel mixed-methods design was used, combining 14 key informant interviews with reviews of national policies and demographic data. Informants were purposively selected from Federal, Regional States, and Non-governmental institutions. Thematic and content analyses followed a predefined framework covering political commitment, legal and policy integration, institutional coordination, and implementation outcomes. NVivo 14 was used for coding, while policy texts and official speeches were systematically mapped and triangulated with fertility trends from national surveys and census data. Over the past three decades, Ethiopia has recognized the burden of high fertility, endorsed global agendas, prepared policies, and has achieved substantial expansion of services. Consequently, the CPR rose from less than 5% in 1990 to 42% in 2019, and the TFR dropped from 6.4 in 1990 to 4.1 in 2019. However, the transition is dominated by periodic declines without substantial changes in completed cohort fertility, preference for low fertility, and limiting behaviors, which are rooted in limited domestic political advocacy, weak multisectoral coor"
CAMEL: Continuous Action Masking Enabled by Large Language Models for Reinforcement Learning,2025,arXiv.org,Yanxiao Zhao; Yangge Qian; Jingyang Shan; Xiaolin Qin,4,10.48550/arXiv.2502.11896,2502.11896,3,JournalArticle,True,https://www.semanticscholar.org/paper/e3966d64b8dfa20b3fec9da0dd7f1534f72ceff2,s2,enabler,(s2 bulk),"Reinforcement learning (RL) in continuous action spaces encounters persistent challenges, such as inefficient exploration and convergence to suboptimal solutions. To address these limitations, we propose CAMEL, a novel framework integrating LLM-generated suboptimal policies into the RL training pipeline. CAMEL leverages dynamic action masking and an adaptive epsilon-masking mechanism to guide exploration during early training stages while gradually enabling agents to optimize policies independently. At the core of CAMEL lies the integration of Python-executable suboptimal policies generated by LLMs based on environment descriptions and task objectives. Although simplistic and hard-coded, these policies offer valuable initial guidance for RL agents. To effectively utilize these priors, CAMEL employs masking-aware optimization to dynamically constrain the action space based on LLM outputs. Additionally, epsilon-masking gradually reduces reliance on LLM-generated guidance, enabling agents to transition from constrained exploration to autonomous policy refinement. Experimental validation on Gymnasium MuJoCo environments demonstrates the effectiveness of CAMEL. In Hopper-v4 and Ant-v4, LLM-generated policies significantly improve sample efficiency, achieving performance comparable to or surpassing expert masking baselines. For Walker2d-v4, where LLMs struggle to accurately model bipedal gait dynamics, CAMEL maintains robust RL performance without notable degradation, highlighting "
RAG-3DSG: Enhancing 3D Scene Graphs with Re-Shot Guided Retrieval-Augmented Generation,2026,arXiv.org,Yue Chang; Rufeng Chen; Zhao-Fan Zhang; Yi Chen et al.,6,10.48550/arXiv.2601.10168,2601.10168,4,JournalArticle,True,https://www.semanticscholar.org/paper/e3acfc6baf6b6fcbcb63ab2c53042fb94bcf67f6,s2,enabler,open-vocabulary 3d scene graph,"Open-vocabulary 3D Scene Graph (3DSG) can enhance various downstream tasks in robotics by leveraging structured semantic representations, yet current 3DSG construction methods suffer from semantic inconsistencies caused by noisy cross-image aggregation under occlusions and constrained viewpoints. To mitigate the impact of such inconsistency, we propose RAG-3DSG, which introduces re-shot guided uncertainty estimation. By measuring the semantic consistency between original limited viewpoints and re-shot optimal viewpoints, this method quantifies the underlying semantic ambiguity of each graph object. Based on this quantification, we devise an Object-level Retrieval-Augmented Generation (RAG) that leverages low-uncertainty objects as semantic anchors to retrieve more reliable contextual knowledge, enabling a Vision-Language Model to rectify the predictions of uncertain objects and optimize the final 3DSG. Extensive evaluations across three challenging benchmarks and real-world robot trials demonstrate that RAG-3DSG achieves superior recall and precision, effectively mitigating semantic noise to provide highly reliable scene representations for robotics tasks."
EvoCurr: Self-evolving Curriculum with Behavior Code Generation for Complex Decision-making,2025,arXiv.org,Yang Cheng; Zilai Wang; Weiyu Ma; Wenhui Zhu et al.,6,10.48550/arXiv.2508.09586,2508.09586,3,JournalArticle,True,https://www.semanticscholar.org/paper/e4647a1e07d00250db2e1d3c3cf66105437fae7a,s2,enabler,(s2 bulk),"Complex decision-making often requires agents to progress through intermediate tasks rather than solve the final target directly. Existing LLM self-refinement methods typically iterate on a fixed target, while curriculum-learning methods often rely on hand-designed schedules, training-time optimization, or domain-specific difficulty metrics. To smooth out the learning curve with adaptive curriculum desgin, we introduce EvoCurr, a general inference-time framework that co-evolves curricula and executable policies. A Designer proposes verifiable intermediate tasks from the latest accepted progress and recent failures, while a Solver generates or trains policies for these tasks. A task-policy pair is accepted only when it passes hard feasibility checks and reaches a specified performance threshold meanwhile an accepted-floor constraint preserves the latest verified checkpoint and prevents failed harder attempts from overwriting mastered behavior. We evaluate EvoCurr across code-as-policy and closed-loop MARL settings on StarCraft II super-late-game micromanagement, hardest stress test, where EvoCurr achieves 96.7--99.2% macro-average win rates across three LLM backbones without LLM parameter training. The performance improvments on other experiments, Flatland, POGEMA, Overcooked, and LiveCodeBench Hard, reflect the generality of our EvoCurr."
Relation-aware Hierarchical Prompt for Open-vocabulary Scene Graph Generation,2025,AAAI Conference on Artificial Intelligence,Tao Liu; Rongjie Li; Chongyu Wang; Xuming He,4,10.1609/aaai.v39i5.32594,,2,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/e4de2022a98f577beb4edbf59b4f048d6b61d272,s2,enabler,open-vocabulary scene graph,"Open-vocabulary Scene Graph Generation (OV-SGG) overcomes the limitations of the closed-set assumption by aligning visual relationship representations with open-vocabulary textual representations. This enables the identification of novel visual relationships, making it applicable to real-world scenarios with diverse relationships. However, existing OV-SGG methods are constrained by fixed text representations, limiting diversity and accuracy in image-text alignment. To address these challenges, we propose the Relation-Aware Hierarchical Prompting (RAHP) framework, which enhances text representation by integrating subject-object and region-specific relation information. Our approach utilizes entity clustering to address the complexity of relation triplet categories, enabling the effective integration of subject-object information. Additionally, we utilize a large language model (LLM) to generate detailed region-aware prompts, capturing fine-grained visual interactions and improving alignment between visual and textual modalities. RAHP also introduces a dynamic selection mechanism within Vision-Language Models (VLMs), which adaptively selects relevant text prompts based on the visual content, reducing noise from irrelevant prompts. Extensive experiments on the Visual Genome and Open Images v6 datasets demonstrate that our framework consistently achieves state-of-the-art performance, demonstrating its effectiveness in addressing the challenges of open-vocabulary scene graph gener"
Programmable and Adaptive Scheduling for Distributed Systems,2025,ACM Workshop on Hot Topics in Networks,Yuyao Wang; Xiangfeng Zhu; Ratul Mahajan; Stephanie Wang,4,10.1145/3772356.3772391,,0,"Book,JournalArticle",True,https://www.semanticscholar.org/paper/e5993bceeb18c7a7f063158414c53eb3221f68d8,s2,enabler,(s2 bulk),"Existing frameworks for managing distributed systems hard-code scheduling policies and their implementations (e.g., centralized vs. decentralized), limiting customization and hurting performance across diverse applications and workloads. We argue for an adaptive scheduling approach, where developers express policies in a high-level, framework-agnostic DSL, and a compiler generates optimized implementations based on policy semantics, workload characteristics, and execution environments. We demonstrate that our compiler-guided approach can significantly improve both scheduling quality and performance."
"Quality as Code: Operationalizing Policy, Risk, and Compliance through Executable Quality Engineering",2026,International Journal of Emerging Trends in Computer Science and Information Technology,Ameen Shahid Kolothum Thodika,1,10.63282/3050-9246.ijetcsit-v7i1p130,,0,JournalArticle,True,https://www.semanticscholar.org/paper/e5d97d93360d4c6e23067b39eb02d8728163b843,s2,enabler,(s2 bulk),"Enterprises increasingly treat quality, policy, and compliance as runtime concerns, yet most governance still lives in documents, wikis, and manual checklists. This paper advances the concept of Quality as Code (QaC): policies and risk controls expressed as executable artifacts embedded into CI/CD pipelines, shared memory layers, and operational telemetry. By converting policies into guardrails and quality gates enforced through validation packs, policy tags, and evidence-linked decisions organizations can measure and continuously improve trust. We present reference architecture, implementation patterns, and adoption roadmap that demonstrate how to shift governance left and right simultaneously: left into design and pipelines, right into runtime assurance. Results include faster audit readiness, reduced decision variance, and verifiable lineage across regulated workflows."
"Real-Time Carbon Footprint Tracking for Data Sovereignty Compliance in Telecom Data Centers: Architecture, Implementation, and Policy Implications",2025,AI and Machine Learning Advances,Babar Tariq,1,10.64220/amla.v2i1.002,,0,JournalArticle,True,https://www.semanticscholar.org/paper/e62877113e850d519c5872dcea59549d99144586,s2,enabler,(s2 bulk),"Problem: Telecom operators were subjected to unprecedented pressure caused by data sovereignty legislation and global climate requirements. The migration to 5G networks made the issue of managing distributed edge data centres in these conflicting regulatory domains even harder. Most of the current systems treated energy efficiency and compliance as isolated issues.

Purpose: The purpose of this paper was to create a framework, Carbon-Aware Sovereignty Enforcement (CASE) to bring real-time carbontracking and geographical data residency in balance.

Procedure: The mixed method involved the use of a system of architectural design and simulation modelling of a programme that was based on tier-1 providers telecom. The framework incorporated real time grid APIs and code as policy in order to automate twelve different jurisdictions of compliance. 

Findings: The deployment had a 34 percent carbon reduction in smart urban settings and a 28 percent weighted average reduction in all the experimental deployment settings. The compliance with sovereignty was 100 and the latency effect of real-time services was less than 7% only. The observed automated audit trail generated reduced manual compliance reporting activities by 85 percent.

Conclusion: The CASE model revealed that the legal compliance of environmental and sustainability ensured by integrated data orchestration was functional. The next research studies should deal with the scaling of this model to emerging network 6G architectur"
Measuring Image-Relation Alignment: Reference-Free Evaluation of VLMs and Synthetic Pre-Training for Open-Vocabulary Scene Graph Generation,2025,2025 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),Maelic Neau; Zoe Falomir; Cédric Buche; Akihiro Sugimoto,4,10.1109/ICCVW69036.2025.00789,2509.01209,0,"JournalArticle,Conference",True,https://www.semanticscholar.org/paper/e8c8f1684cb48b7d224bb4e537ea9692091f124e,s2,enabler,open-vocabulary scene graph,"Scene Graph Generation (SGG) encodes visual relationships between objects in images as graph structures. Thanks to the advances of Vision-Language Models (VLMs), the task of Open-Vocabulary SGG has been recently proposed where models are evaluated on their functionality to learn a wide and diverse range of relations. Current benchmarks in SGG, however, possess a very limited vocabulary, making the evaluation of open-source models inefficient. In this paper, we propose a new reference-free metric to fairly evaluate the open-vocabulary capabilities of VLMs for relation prediction. Another limitation of Open-Vocabulary SGG is the reliance on weakly supervised data of poor quality for pre-training. We also propose a new solution for quickly generating high-quality synthetic data through region-specific prompt tuning of VLMs. Experimental results show that pre-training with this new data split can benefit the generalization capabilities of Open-Voc SGG models11Code and data available at https://github.com/Maelic/OpenVocSGG."
SGLang: Efficient Execution of Structured Language Model Programs,2023,Neural Information Processing Systems,Lianmin Zheng; Liangsheng Yin; Zhiqiang Xie; Chuyue Sun et al.,12,10.52202/079017-2000,2312.07104,1320,JournalArticle,True,https://www.semanticscholar.org/paper/eb95c327260725498404eb43ec370d419b8d92c7,s2,enabler,language model programs,"Large language models (LLMs) are increasingly used for complex tasks that require multiple generation calls, advanced prompting techniques, control flow, and structured inputs/outputs. However, efficient systems are lacking for programming and executing these applications. We introduce SGLang, a system for efficient execution of complex language model programs. SGLang consists of a frontend language and a runtime. The frontend simplifies programming with primitives for generation and parallelism control. The runtime accelerates execution with novel optimizations like RadixAttention for KV cache reuse and compressed finite state machines for faster structured output decoding. Experiments show that SGLang achieves up to 6.4x higher throughput compared to state-of-the-art inference systems on various large language and multi-modal models on tasks including agent control, logical reasoning, few-shot learning benchmarks, JSON decoding, retrieval-augmented generation pipelines, and multi-turn chat. The code is publicly available at https://github.com/sgl-project/sglang"
Architecting Multi-Cloud Immutable Infrastructure Workflows: Beyond Traditional CI/CD,2025,International Journal of Scientific Research in Computer Science Engineering and Information Technology,Sridhar Nelloru,1,10.32628/cseit25111221,,0,JournalArticle,True,https://www.semanticscholar.org/paper/ecb7b3e4c7ce4d211972d3543532d5aa0ff25aba,s2,enabler,(s2 bulk),"This article explores the advanced realm of multi-cloud immutable infrastructure workflows, presenting a comprehensive analysis of their implementation, benefits, and future directions. It delves into the foundational principles of immutable infrastructure and their application in multi-cloud environments, highlighting the integration with Infrastructure as Code and policy-as-code frameworks. The discussion extends to advanced patterns and workflows, including strategies for unifying disparate cloud APIs, leveraging orchestration tools, and standardizing security measures across heterogeneous environments. The article examines how these approaches enhance both stability and agility in software deployment, covering dynamic scaling policies, automated rollback mechanisms, and strategies for maintaining consistency. It also addresses the operational benefits and challenges associated with these workflows, providing insights into faster service deployment, reduced operational overhead, and proactive governance management. Looking ahead, the article forecasts the impact of emerging technologies such as artificial intelligence and machine learning on multi-cloud orchestration and infrastructure management. By offering a holistic view of current practices and future trends, this article serves as a valuable resource for organizations seeking to optimize their cloud infrastructure strategies and stay ahead in the rapidly evolving landscape of software deployment and management."
Automated Business Continuity and Disaster Recovery in Hybrid Cloud Enterprise Architectures,2025,European Modern Studies Journal,Vinay Chowdary Duvvada,1,10.59573/emsj.9(3).2025.39,,0,JournalArticle,True,https://www.semanticscholar.org/paper/eef125a6ad0b172ff7dab42b84a27d5bf2f5b4c1,s2,enabler,(s2 bulk),"This article delves into how automated Business Continuity and Disaster Recovery (BCDR) solutions have evolved within hybrid cloud enterprise setups. Organizations now spread vital workloads across physical infrastructure and various cloud platforms, creating challenges that conventional recovery methods struggle to handle. The paper scrutinizes the distinctive complexities found in hybrid settings, from synchronizing data across different platforms to managing network dependencies, security demands, and coordination intricacies. Infrastructure-as-code and policy-as-code approaches emerge as cornerstones for contemporary BCDR tactics, allowing recovery objectives to be defined programmatically while ensuring uniform deployment across varied environments. Several architectural models for robust implementations receive thorough examination, including geographically distributed active-active setups, recovery paths from cloud to on-premises systems, orchestration across multiple cloud providers, and approaches using immutable infrastructure principles. The integration possibilities with native BCDR services from major cloud vendors are explored alongside the hurdles of managing recovery processes spanning multiple platforms. The concluding sections highlight cutting-edge technologies set to reshape the BCDR landscape: artificial intelligence for predicting failures, architectures capable of self-repair, and frameworks that optimize economic aspects by adjusting protection based o"
Open-Vocabulary Spatio-Temporal Scene Graph for Robot Perception and Teleoperation Planning,2025,arXiv.org,Yi Wang; Zeyue Xue; Mujie Liu; Tong Zhang et al.,8,10.48550/arXiv.2509.23107,2509.23107,0,JournalArticle,True,https://www.semanticscholar.org/paper/ef2beba112c17dd464fcb19d4be416557efb0e97,s2,enabler,open-vocabulary scene graph,"Teleoperation via natural-language reduces operator workload and enhances safety in high-risk or remote settings. However, in dynamic remote scenes, transmission latency during bidirectional communication creates gaps between remote perceived states and operator intent, leading to command misunderstanding and incorrect execution. To mitigate this, we introduce the Spatio-Temporal Open-Vocabulary Scene Graph (ST-OVSG), a representation that enriches open-vocabulary perception with temporal dynamics and lightweight latency annotations. ST-OVSG leverages LVLMs to construct open-vocabulary 3D object representations, and extends them into the temporal domain via Hungarian assignment with our temporal matching cost, yielding a unified spatio-temporal scene graph. A latency tag is embedded to enable LVLM planners to retrospectively query past scene states, thereby resolving local-remote state mismatches caused by transmission delays. To further reduce redundancy and highlight task-relevant cues, we propose a task-oriented subgraph filtering strategy that produces compact inputs for the planner. ST-OVSG generalizes to novel categories and enhances planning robustness against transmission latency without requiring fine-tuning. Experiments show that our method achieves 74 percent node accuracy on the Replica benchmark, outperforming ConceptGraph. Notably, in the latency-robustness experiment, the LVLM planner assisted by ST-OVSG achieved a planning success rate of 70.5 percent."
Trident : How to Break Deep Reinforcement Learning Cyber Defenses (Agentic),2026,,Ryozo Masukawa; Ian Bryant; Armita Kazeminajafabadi; Sanggeon Yun et al.,9,,2608.04317,0,,True,https://www.semanticscholar.org/paper/f113cf61f49b1f85a1e9dc20d3d4e42a00917f68,s2,enabler,(s2 bulk),"Autonomous cyber defense systems based on Deep Reinforcement Learning (DRL) have attracted significant research attention, yet remain evaluated almost exclusively against static, heuristic red agents, leaving their robustness against adaptive threats critically understudied. Meanwhile, recent advances in Reinforcement Learning with Verifiable Rewards (RLVR) have improved LLM reasoning, but their integration into cybersecurity remains elusive due to the absence of suitable benchmark environments and interaction datasets. To bridge this gap, we introduce Trident, an agentic LLM red teaming framework comprising three components: a dynamic benchmark with isolated sandbox servers spanning CybORG CAGE 4 and CyberWheel, a dataset comprises over 13,000 high-fidelity red-blue interaction trajectories for RLVR, and a ``Code-as-Policy''RLVR agentic architecture Trident Agentic). The latter reformulates red agent training as a contextual bandit via a tripartite Log Summarizer--Planner--Coder design, where a trainable Planner generates complete attack strategies from compressed execution logs, which a frozen Coder translates into executable Python policies deployed against live DRL defenders. Empirical evaluations reveal a fundamental brittleness in existing defenses: with a single trainable 7B planner, Trident reduces blue agent defensive performance by an average of 522% compared to static red agent baselines while autonomously discovering emergent behaviors such as decoy avoidance and "
Blueprint for Constructing an AI-Based Patient Simulation to Enhance the Integration of Foundational and Clinical Sciences in Didactic Immunology in a US Doctor of Pharmacy Program: A Step-by-Step Prompt Engineering and Coding Toolkit,2025,Pharmacy,Ashim Malhotra; M. Buller; Kunal Modi; Karim Pajazetovic et al.,5,10.3390/pharmacy13020036,,4,JournalArticle,True,https://www.semanticscholar.org/paper/f179edab41cf2cfbc4e03e932e18f81b73ccb310,s2,enabler,(s2 bulk),"While pharmacy education successfully employs various methodologies including case-based learning and simulated patient interactions, providing consistent, individualized guidance at scale remains challenging in team-based learning environments. Artificial intelligence (AI) offers potential solutions through automated facilitation, but its possible utility in pharmacy education remains unexplored. We developed and evaluated an AI-guided patient case discussion simulation to enhance learners’ ability to integrate foundational science knowledge with clinical decision-making in a didactic immunology course in a US PharmD program. We utilized a large language model programmed with specific educational protocols and rubrics. Here, we present the step-by-step prompt engineering protocol as a toolkit. The system was structured around three core components in an immunology team-based learning activity: (1) symptomatology analysis, (2) laboratory test interpretation, and (3) pharmacist role definition and PPCP. Performance evaluation was conducted using a comprehensive rubric assessing multiple clinical reasoning and pharmaceutical knowledge domains. The standardized evaluation rubric showed reliable assessment across key competencies including condition identification (30% weighting), laboratory test interpretation (40% weighting), and pharmacist role understanding (30% weighting). Our AI patient simulator offers a scalable solution for standardizing clinical case discussions while m"
A critical evaluation of the sustainability of building codes and policy when embodied carbon is considered for the construction of three-bedroom houses in the United Kingdom,2024,International Journal of Sustainable Real Estate and Construction Economics,Uchechukwu V. Okere; R. Rawson; Harry King,3,10.1504/ijsrece.2024.10068114,,0,JournalArticle,True,https://www.semanticscholar.org/paper/f3a83c079565b6ec7693f27e7fa21a5b213c5b13,s2,enabler,(s2 bulk),
OpenSGG-VL: Open-Vocabulary 3DSGG with Orthogonal Residual Fusion and Iterative Relation Refinement,2026,International Conference on Multimedia Retrieval,Binbin Zhang; Fang Zhou; Liang Xiao; Zhiyong Su et al.,5,10.1145/3805622.3810857,,0,"Book,JournalArticle",True,https://www.semanticscholar.org/paper/f3e0d78e44342e2761b7267464e64b69285b3937,s2,enabler,open-vocabulary 3d scene graph,"Open-vocabulary 3D scene graph generation (3DSGG) aims to predict object categories and relation triplets from 3D scans while generalizing beyond a fixed label set. Prior open-vocabulary methods commonly rely on 2D features as an intermediate bridge to connect 3D representations with language, which can introduce misalignment and unstable multimodal fusion. In this work, we propose OpenSGG-VL, a framework that learns text-aligned 3D instance embeddings via large-scale 3D-Text contrastive learning, further enhanced by lightweight pose features to retain spatial cues. At inference, we extract 2D embeddings from RGB views and fuse them with 3D embeddings using Orthogonal Residual Fusion (ORF), which preserves the dominant semantic direction while injecting complementary geometric residuals. For open-set relation prediction, we employ an LLM and formulate relation inference as an iterative, scene-consistent refinement process with grouped relation decoding and multi-stage optimization. Experiments on 3DSSG demonstrate that our method achieves strong open-vocabulary performance and produces more coherent scene graphs than prior baselines."
An intelligent piano motion capture and self-learning performance system driven by multisensor input,2026,"The 2nd International Conference on Artificial Intelligence, Deep Learning and Neural Networks (AIDLNN 2025)",Jian Wu,1,10.1117/12.3110019,,0,Conference,True,https://www.semanticscholar.org/paper/f3e4d9ea144a34f6a86b5a6ffc1929b1cd085f43,s2,enabler,(s2 bulk),
Reproducible research practices: A tool for effective and efficient leadership in collaborative statistics,2024,Stat,Camille J. Hochheimer; Grace N. Bosma; Lauren B Gunn-Sandell; M. Sammel,4,10.1002/sta4.653,,2,JournalArticle,True,https://www.semanticscholar.org/paper/f4c1d68a7ef7123b424772230f5cafcfb296f694,s2,enabler,(s2 bulk),"With data and code sharing policies more common and version control more widely used in statistics, standards for reproducible research are higher than ever. Reproducible research practices must keep up with the fast pace of research. To do so, we propose combining modern practices of leadership with best practices for reproducible research in collaborative statistics as an effective tool for ensuring quality and accuracy while developing stewardship and autonomy in the people we lead. First, we establish a framework for expectations of reproducible statistical research. Then, we introduce Stephen M.R. Covey's theory of trusting and inspiring leadership. These two are combined as we show how stewardship agreements can be used to make reproducible coding a team norm. We provide an illustrative code example and highlight how this method creates a more collaborative rather than evaluative culture where team members hold themselves accountable. The goal of this manuscript is for statisticians to find this application of leadership theory useful and to inspire them to intentionally develop their personal approach to leadership."
Study on policy adaptability of occupational injury insurance for employees of emerging business sectors in China,2025,Frontiers in Public Health,Qixia Du; Xin Miao; X. Cui; Aijun Xu et al.,5,10.3389/fpubh.2025.1646962,,2,JournalArticle,True,https://www.semanticscholar.org/paper/f5b4c7f9d364a0c002855b235fa7a943f00099db,s2,enabler,(s2 bulk),"Introduction With the rapid industrialization in China, the issue of labor rights protection in emerging business sectors has become a hot topic within academic research and market practice. However, there were still few studies on the assessment of policy instruments in China. Accordingly, this study attempted to construct a three-dimensional framework regarding “policy instruments, policy intensity, and policy stakeholders,” to explore the policy adaptability of occupational injury insurance for employees of emerging business sectors in China. Methods Followed by compiling 60 policies pertaining to occupational injury insurance for employees of emerging business sectors in China, this study conducted Nvivo 12 to summarize the specific provisions of these policies. Subsequently, we employed the rule code of “policy serial number, chapter serial number, and clause serial number” to investigate the adaptability of these occupational injury insurance policies. Results It suggested that the development of occupational injury insurance policies for employees of emerging business sectors in China was still in its early stages, with characteristics of uneven utilization of policy instruments and limited adaptability to specific targets. While there was an upward trend in policy intensity, improvements in efficiency and capacity were necessary. Moreover, the presence of competing policy interests and inadequate governance capacity remained significant challenges. Discussion Based on"
Context-Aware Entity Grounding with Open-Vocabulary 3D Scene Graphs,2023,Conference on Robot Learning,Haonan Chang; Kowndinya Boyalakuntla; Shiyang Lu; Siwei Cai et al.,11,10.48550/arXiv.2309.15940,2309.15940,49,JournalArticle,True,https://www.semanticscholar.org/paper/f902ac89c9018a38ff33105b74d77a46434fc7cf,s2,enabler,open-vocabulary 3d scene graph,"We present an Open-Vocabulary 3D Scene Graph (OVSG), a formal framework for grounding a variety of entities, such as object instances, agents, and regions, with free-form text-based queries. Unlike conventional semantic-based object localization approaches, our system facilitates context-aware entity localization, allowing for queries such as ``pick up a cup on a kitchen table""or ``navigate to a sofa on which someone is sitting"". In contrast to existing research on 3D scene graphs, OVSG supports free-form text input and open-vocabulary querying. Through a series of comparative experiments using the ScanNet dataset and a self-collected dataset, we demonstrate that our proposed approach significantly surpasses the performance of previous semantic-based localization techniques. Moreover, we highlight the practical application of OVSG in real-world robot navigation and manipulation experiments."
