title,year,venue,authors,n_authors,doi,arxiv,citations,type,oa,url,sources,phrases,abstract
Spatially-Aware Speaker for Vision-and-Language Navigation Instruction Generation,2024,Annual Meeting of the Association for Computational Linguistics,Muraleekrishna Gopinathan; Martin Mašek; Jumana Abu-Khalaf; David Suter,4,10.18653/v1/2024.acl-long.734,2409.05583,5,conference-paper,True,https://openalex.org/W4402671210,arxiv|openalex|s2,vision-and-language navigation,"Embodied AI aims to develop robots that can understand and execute human language instructions, as well as communicate in natural languages. On this front, we study the task of generating highly detailed navigational instructions for the embodied robots to follow. Although recent studies have demonstrated significant leaps in the generation of step-by-step instructions from sequences of images, the generated instructions lack variety in terms of their referral to objects and landmarks. Existing speaker models learn strategies to evade the evaluation metrics and obtain higher scores even for low-quality sentences. In this work, we propose SAS (Spatially-Aware Speaker), an instruction generator or Speaker model that utilises both structural and semantic knowledge of the environment to produce richer instructions. For training, we employ a reward learning method in an adversarial setting to avoid systematic bias introduced by language evaluation metrics. Empirically, our method outperforms existing instruction generation models, evaluated using standard metrics. Our code is available at https://github.com/gmuraleekrishna/SAS."
MiniVLN: Efficient Vision-and-Language Navigation by Progressive Knowledge Distillation,2025,IEEE International Conference on Robotics and Automation,Junyou Zhu; Yanyuan Qiao; Siqi Zhang; Xingjian He et al.,6,10.1109/icra55743.2025.11127306,2409.18800,7,conference-paper,True,https://openalex.org/W4413917085,arxiv|openalex|s2,vision-and-language navigation,"In recent years, Embodied Artificial Intelligence (Embodied AI) has advanced rapidly, yet the increasing size of models conflicts with the limited computational capabilities of Embodied AI platforms. To address this challenge, we aim to achieve both high model performance and practical deployability. Specifically, we focus on Vision-and-Language Navigation (VLN), a core task in Embodied AI. This paper introduces a two-stage knowledge distillation framework, producing a student model, MiniVLN, and showcasing the significant potential of distillation techniques in developing lightweight models. The proposed method aims to capture fine-grained knowledge during the pretraining phase and navigation-specific knowledge during the fine-tuning phase. Our findings indicate that the two-stage distillation approach is more effective in narrowing the performance gap between the teacher model and the student model compared to single-stage distillation. On the public R2R and REVERIE benchmarks, MiniVLN achieves performance on par with the teacher model while having only about 12 % of the teacher model's parameter count."
Navigating Beyond Instructions: Vision-and-Language Navigation in Obstructed Environments,2024,ACM Multimedia,Haodong Hong; Sen Wang; Zi Huang; Qi Wu et al.,5,10.1145/3664647.3681640,2407.21452,12,conference-paper,True,https://openalex.org/W4403791053,arxiv|openalex|s2,vision-and-language navigation,"Real-world navigation often involves dealing with unexpected obstructions such as closed doors, moved objects, and unpredictable entities. However, mainstream Vision-and-Language Navigation (VLN) tasks typically assume instructions perfectly align with the fixed and predefined navigation graphs without any obstructions. This assumption overlooks potential discrepancies in actual navigation graphs and given instructions, which can cause major failures for both indoor and outdoor agents. To address this issue, we integrate diverse obstructions into the R2R dataset by modifying both the navigation graphs and visual observations, introducing an innovative dataset and task, R2R with UNexpected Obstructions (R2R-UNO). R2R-UNO contains various types and numbers of path obstructions to generate instruction-reality mismatches for VLN research. Experiments on R2R-UNO reveal that state-of-the-art VLN methods inevitably encounter significant challenges when facing such mismatches, indicating that they rigidly follow instructions rather than navigate adaptively. Therefore, we propose a novel method called ObVLN (Obstructed VLN), which includes a curriculum training strategy and virtual graph construction to help agents effectively adapt to obstructed environments. Empirical results show that ObVLN not only maintains robust performance in unobstructed scenarios but also achieves a substantial performance advantage with unexpected obstructions. The source code is available at https://github"
Temporal-Spatial Object Relations Modeling for Vision-and-Language Navigation,2025,IEEE Transactions on Intelligent Transportation Systems,Bowen Huang; Yanwei Zheng; Dongchen Sui; Chuanlin Lan et al.,10,10.1109/tits.2025.3599649,2403.15691,2,article,True,https://openalex.org/W4413554850,arxiv|openalex|s2,vision-and-language navigation,"Vision-and-Language Navigation (VLN) is a challenging task where an agent is required to navigate to a natural language described location via vision observations. The navigation abilities of the agent can be enhanced by the relations between objects, which are usually learned using internal objects or external datasets. The relationships between internal objects are modeled employing graph convolutional network (GCN) in traditional studies. However, GCN tends to be shallow, limiting its modeling ability. To address this issue, we utilize a cross attention mechanism to learn the connections between objects over a trajectory, which takes temporal continuity into account, termed as Temporal Object Relations (TOR). The external datasets have a gap with the navigation environment, leading to inaccurate modeling of relations. To avoid this problem, we construct object connections based on observations from all viewpoints in the navigational environment, which ensures complete spatial coverage and eliminates the gap, called Spatial Object Relations (SOR). Additionally, we observe that agents may repeatedly visit the same location during navigation, significantly hindering their performance. For resolving this matter, we introduce the Turning Back Penalty (TBP) loss function, which penalizes the agent’s repetitive visiting behavior, substantially reducing the navigational distance. Experimental results on the REVERIE, SOON, Touchdown and R2R datasets demonstrate the effectiveness of"
Human-Aware Vision-and-Language Navigation: Bridging Simulation to Reality with Dynamic Human Interactions,2024,,Heng Li; Minghan Li; Zhi-Qi Cheng; Yifei Dong et al.,9,10.52202/079017-3795,,3,conference-paper,False,https://openalex.org/W4415795319,openalex,vision-and-language navigation,
CorNav: Autonomous Agent with Self-Corrected Planning for Zero-Shot Vision-and-Language Navigation,2024,Annual Meeting of the Association for Computational Linguistics,Xiwen Liang; Liang Ma; Shanshan Guo; Jianhua Han et al.,7,10.18653/v1/2024.findings-acl.745,2306.10322,9,conference-paper,True,https://openalex.org/W4402670127,openalex|s2,vision-and-language navigation,"Understanding and following natural language instructions while navigating through complex, real-world environments poses a significant challenge for general-purpose robots.These environments often include obstacles and pedestrians, making it essential for autonomous agents to possess the capability of self-corrected planning to adjust their actions based on feedback from the surroundings.However, the majority of existing vision-andlanguage navigation (VLN) methods primarily operate in less realistic simulator settings and do not incorporate environmental feedback into their decision-making processes.To address this gap, we introduce a novel zero-shot framework called CorNav, utilizing a large language model for decision-making and comprising two key components: 1) incorporating environmental feedback for refining future plans and adjusting its actions, and 2) multiple domain experts for parsing instructions, scene understanding, and refining predicted actions.In addition to the framework, we develop a 3D simulator that renders realistic scenarios using Unreal Engine 5. To evaluate the effectiveness and generalization of navigation agents in a zero-shot multi-task setting, we create a benchmark called NavBench.Our empirical study involves deploying 7 baselines across four tasks, i.e., goal-conditioned navigation given a specific object category, goal-conditioned navigation given simple instructions, finding abstract objects based on high-level instructions, and step-by-step i"
AerialVLN: Vision-and-Language Navigation for UAVs,2023,arXiv (Cornell University),Shubo Liu; Hongsheng Zhang; Yuankai Qi; Peng Wang et al.,6,10.48550/arxiv.2308.06735,2308.06735,1,preprint,True,https://openalex.org/W4385848831,openalex,vision-and-language navigation,"Recently emerged Vision-and-Language Navigation (VLN) tasks have drawn significant attention in both computer vision and natural language processing communities. Existing VLN tasks are built for agents that navigate on the ground, either indoors or outdoors. However, many tasks require intelligent agents to carry out in the sky, such as UAV-based goods delivery, traffic/security patrol, and scenery tour, to name a few. Navigating in the sky is more complicated than on the ground because agents need to consider the flying height and more complex spatial relationship reasoning. To fill this gap and facilitate research in this field, we propose a new task named AerialVLN, which is UAV-based and towards outdoor environments. We develop a 3D simulator rendered by near-realistic pictures of 25 city-level scenarios. Our simulator supports continuous navigation, environment extension and configuration. We also proposed an extended baseline model based on the widely-used cross-modal-alignment (CMA) navigation methods. We find that there is still a significant gap between the baseline model and human performance, which suggests AerialVLN is a new challenging task. Dataset and code is available at https://github.com/AirVLN/AirVLN."
WebVLN: Vision-and-Language Navigation on Websites,2023,arXiv (Cornell University),Qi Chen; Dileepa Pitawela; Chongyang Zhao; Gengze Zhou et al.,6,10.48550/arxiv.2312.15820,2312.15820,29,preprint,True,https://openalex.org/W4390306873,arxiv|openalex|s2,vision-and-language navigation,"Vision-and-Language Navigation (VLN) task aims to enable AI agents to accurately understand and follow natural language instructions to navigate through real-world environments, ultimately reaching specific target locations. We recognise a promising opportunity to extend VLN to a comparable navigation task that holds substantial significance in our daily lives, albeit within the virtual realm: navigating websites on the Internet. This paper proposes a new task named Vision-and-Language Navigation on Websites (WebVLN), where we use question-based instructions to train an agent, emulating how users naturally browse websites. Unlike the existing VLN task that only pays attention to vision and instruction (language), the WebVLN agent further considers underlying web-specific content like HTML, which could not be seen on the rendered web pages yet contains rich visual and textual information. Toward this goal, we contribute a dataset, WebVLN-v1, and introduce a novel approach called Website-aware VLN Network (WebVLN-Net), which is built upon the foundation of state-of-the-art VLN techniques. Experimental results show that WebVLN-Net outperforms current VLN and web-related navigation methods. We believe that the introduction of the new WebVLN task and its dataset will establish a new dimension within the VLN domain and contribute to the broader vision-and-language research community. The code is available at: https://github.com/WebVLN/WebVLN."
Improved VLN-BERT with Reinforcing Endpoint Alignment for Vision-and-Language Navigation,2024,Communications in computer and information science,Chuan Jin; Boyuan Yang; Ruonan Liu,3,10.1007/978-981-97-6125-8_10,,2,conference-paper,False,https://openalex.org/W4401051106,openalex,vision-and-language navigation,
Which way is 'right'?: Uncovering limitations of Vision-and-Language Navigation Models,2023,,Meera Hahn; Amit Raj; James M. Rehg,3,10.65109/hukj6734,,2,conference-paper,False,https://openalex.org/W7124261522,openalex,vision-and-language navigation,"The challenging task of Vision-and-Language Navigation (VLN) requires embodied agents to follow natural language instructions to reach a goal location or object (e.g. 'walk down the hallway and turn left at the piano'). For agents to complete this task successfully, they must be able to ground objects referenced into the instruction (e.g.`piano') into the visual scene as well as ground directional phrases (e.g.`turn left') into actions. In this work we ask the following question -- to what degree are spatial and directional language cues informing the navigation model's decisions? We propose a series of simple masking experiments to inspect the model's reliance on different parts of the instruction. Surprisingly we uncover that certain top performing models rely only on the noun tokens of the instructions."
Mind the Gap: Improving Success Rate of Vision-and-Language Navigation by Revisiting Oracle Success Routes,2023,arXiv (Cornell University),Chongyang Zhao; Yuankai Qi; Qi Wu,3,10.48550/arxiv.2308.03244,2308.03244,3,preprint,True,https://openalex.org/W4385681654,openalex,vision-and-language navigation,"Vision-and-Language Navigation (VLN) aims to navigate to the target location by following a given instruction. Unlike existing methods focused on predicting a more accurate action at each step in navigation, in this paper, we make the first attempt to tackle a long-ignored problem in VLN: narrowing the gap between Success Rate (SR) and Oracle Success Rate (OSR). We observe a consistently large gap (up to 9%) on four state-of-the-art VLN methods across two benchmark datasets: R2R and REVERIE. The high OSR indicates the robot agent passes the target location, while the low SR suggests the agent actually fails to stop at the target location at last. Instead of predicting actions directly, we propose to mine the target location from a trajectory given by off-the-shelf VLN models. Specially, we design a multi-module transformer-based model for learning compact discriminative trajectory viewpoint representation, which is used to predict the confidence of being a target location as described in the instruction. The proposed method is evaluated on three widely-adopted datasets: R2R, REVERIE and NDH, and shows promising results, demonstrating the potential for more future research."
Indoor Scene Recognition in Vision-and-Language Navigation,2025,IEEE Transactions on Consumer Electronics,Hongtao Zhang; Yuankai Qi; Mingbo Zhao; Yuping Liu,4,10.1109/tce.2025.3645249,,2,article,True,https://openalex.org/W4417470533,openalex|s2,vision-and-language navigation,"Indoor scene recognition is a crucial component in vision-and-language navigation (VLN), which involves guiding an agent to navigate through unseen, photo-realistic environments using natural language instructions. However, existing researches have not yet endowed VLN agents with robust indoor scene recognition capabilities, which are essential for enhancing the agent’s spatial perception and environmental understanding. In this paper, we introduce the Room-to-Room Scene Recognition (R2R-SR) dataset, designed to enhance the spatial perception capabilities of agents in VLN. The R2R-SR dataset includes 7,283 images categorized into 10 room classes, sourced from the Matterport3D (MP3D) simulator. To alleviate the imbalance in training data distribution across room categories, we propose a panoramic environment generation technique using Llava and Stable Diffusion for data Augmentation (LSDA). Our proposed LSDA-based model achieves a Top-1 accuracy of 75.9%, outperforming the best competitors in the convolutional neural network (CNN) and vision transformer (ViT) domains. The qualitative results highlight the model’s proficiency in identifying distinct features across various room categories, showcasing its effectiveness in indoor scene recognition tasks."
NaVid: Video-based VLM Plans the Next Step for Vision-and-Language Navigation,2024,arXiv (Cornell University),Jiazhao Zhang; Kunyu Wang; Rongtao Xu; Gengze Zhou et al.,9,10.48550/arxiv.2402.15852,2402.15852,294,preprint,True,https://openalex.org/W4392425348,arxiv|openalex|s2,vision-and-language navigation,"Vision-and-language navigation (VLN) stands as a key research problem of Embodied AI, aiming at enabling agents to navigate in unseen environments following linguistic instructions. In this field, generalization is a long-standing challenge, either to out-of-distribution scenes or from Sim to Real. In this paper, we propose NaVid, a video-based large vision language model (VLM), to mitigate such a generalization gap. NaVid makes the first endeavor to showcase the capability of VLMs to achieve state-of-the-art level navigation performance without any maps, odometers, or depth inputs. Following human instruction, NaVid only requires an on-the-fly video stream from a monocular RGB camera equipped on the robot to output the next-step action. Our formulation mimics how humans navigate and naturally gets rid of the problems introduced by odometer noises, and the Sim2Real gaps from map or depth inputs. Moreover, our video-based approach can effectively encode the historical observations of robots as spatio-temporal contexts for decision making and instruction following. We train NaVid with 510k navigation samples collected from continuous environments, including action-planning and instruction-reasoning samples, along with 763k large-scale web data. Extensive experiments show that NaVid achieves state-of-the-art performance in simulation environments and the real world, demonstrating superior cross-dataset and Sim2Real transfer. We thus believe our proposed VLM approach plans the ne"
Planning from Imagination: Episodic Simulation and Episodic Memory for Vision-and-Language Navigation,2025,Proceedings of the AAAI Conference on Artificial Intelligence,Yiyuan Pan; Yunzhe Xu; Zhe Liu; Hesheng Wang,4,10.1609/aaai.v39i6.32679,,2,conference-paper,True,https://openalex.org/W4409366841,openalex,vision-and-language navigation,"Humans navigate unfamiliar environments using episodic simulation and episodic memory, which facilitate a deeper understanding of the complex relationships between environments and objects. Developing an imaginative memory system inspired by human mechanisms can enhance the navigation performance of embodied agents in unseen environments. However, existing Vision-and-Language Navigation (VLN) agents lack a memory mechanism of this kind. To address this, we propose a novel architecture that equips agents with a reality-imagination hybrid memory system. This system enables agents to maintain and expand their memory through both imaginative mechanisms and navigation actions. Additionally, we design tailored pre-training tasks to develop the agent's imaginative capabilities. Our agent can imagine high-fidelity RGB images for future scenes, achieving state-of-the-art results in a Success rate weighted by Path Length (SPL)."
GesNavi: Gesture-guided Outdoor Vision-and-Language Navigation,2024,,Aman Jain; Teruhisa Misu; Kentaro Yamada; Hitomi Yanaka,4,10.18653/v1/2024.eacl-srw.23,,1,conference-paper,True,https://openalex.org/W4411638696,openalex,vision-and-language navigation,"Vision-and-Language Navigation (VLN) task involves navigating mobility using linguistic commands and has application in developing interfaces for autonomous mobility.In reality, natural human communication also encompasses non-verbal cues like hand gestures and gaze.These gesture-guided instructions have been explored in Human-Robot Interaction systems for effective interaction, particularly in object-referring expressions.However, a notable gap exists in tackling gesturebased demonstrative expressions in outdoor VLN task.To address this, we introduce a novel dataset for gesture-guided outdoor VLN instructions with demonstrative expressions, designed with a focus on complex instructions requiring multi-hop reasoning between the multiple input modalities.In addition, our work also includes a comprehensive analysis of the collected data and a comparative evaluation against the existing datasets."
VLN-KHVR: Knowledge-And-History Aware Visual Representation for Continuous Vision-and-Language Navigation,2025,IEEE International Conference on Robotics and Automation,Ping Kong; Ruonan Liu; Zongxia Xie; Zhibo Pang,4,10.1109/icra55743.2025.11127961,,3,conference-paper,True,https://openalex.org/W4413918705,openalex|s2,vision-and-language navigation,"Vision-and-Language Navigation in Continuous Environments (VLN-CE) requires agents to navigate with lowlevel actions following natural language instructions in 3D environments. Most existing approaches utilize observation features from the current step to represent the viewpoint. However, these representations often conflate redundant and essential information for navigation, introducing ambiguity into the agent's action prediction. To address the problem of inadequate representation, we propose a Knowledge-andHistory Aware Visual Representation for Continuous Vision-and-Language Navigation (VLN-KHVR). The proposed approach constructs enriched visual representations tailored to navigation instructions, enhancing agents' navigation performance. Specifically, VLN-KHVR extracts image features from the current observation, retrieves relevant knowledge in the knowledge base, and obtains the history of the navigation episode. Subsequently, the knowledge and history features are filtered to eliminate the information irrelevant to navigation instruction. These refined features are integrated with the instruction for further interaction. Finally, the aggregated features are used to guide navigation. Our model outperforms previous methods on the VLN-CE benchmark, demonstrating the effectiveness of the proposed method."
History-Guided Prompt Generation for Vision-and-Language Navigation,2025,IEEE Transactions on Cybernetics,Wen Guo; Zongmeng Wang; Yufan Hu; Junyu Gao,4,10.1109/tcyb.2025.3613147,,3,article,True,https://openalex.org/W4414757944,openalex|s2,vision-and-language navigation,"Vision-and-language navigation (VLN) has garnered extensive attention in the field of embodied artificial intelligence. VLN involves time series information, where historical observations contain rich contextual knowledge and play a crucial role in navigation. However, current methods do not explicitly excavate the connection between rich contextual information in history and the current environment, and ignore adaptive learning of clues related to the current environment. Therefore, we explore a Prompt Learning-based strategy which adaptively mines information in history that is highly relevant to the current environment to enhance the agent's perception of the current environment and propose a history-guided prompt generation (HGPG) framework. Specifically, HGPG includes two parts, one is an entropy-based history acquisition module that assesses the uncertainty of the action probability distribution from the preceding step to determine whether historical information should be used at the current time step. The other part is the prompt generation module that transforms historical context into prompt vectors by sampling from an end-to-end learned token library. These prompt tokens serve as discrete, knowledge-rich representations that encode semantic cues from historical observations in a compact form, making them easier for the decision network to understand and utilize. In addition, we share the token library across various navigation tasks, mining common features between d"
NavHint: Vision and Language Navigation Agent with a Hint Generator,2024,,Yue Zhang; Quan Guo; Parisa Kordjamshidi,3,10.18653/v1/2024.findings-eacl.7,,1,conference-paper,True,https://openalex.org/W7126381157,openalex,vision-and-language navigation,
Tree-Structured Trajectory Encoding for Vision-and-Language Navigation,2023,Proceedings of the AAAI Conference on Artificial Intelligence,Xinzhe Zhou; Yadong Mu,2,10.1609/aaai.v37i3.25494,,2,conference-paper,True,https://openalex.org/W4382462330,openalex|s2,vision-and-language navigation,"Over the past few years, the research on vision-and-language navigation (VLN) has made tremendous progress. Many previous works attempted to improve the performance from different aspects like training strategy, data augmentation, pre-training, etc. This work focuses on a rarely-explored aspect in VLN, namely the trajectory organization and encoding during the navigation. Most of existing state-of-the-art VLN models adopt a vanilla sequential strategy for encoding the trajectories. Such strategy takes the whole trajectory as a single sequence to estimate the current state, no matter whether the agent moved smoothly or perhaps made mistakes and backtracked in the past. We show that the sequential encoding may largely lose this kind of fine-grained structure in the trajectory, which could hamper the later state estimation and decision making. In order to solve this problem, this work proposes a novel tree-structured trajectory encoding strategy. The whole trajectory is organized as a tree rooted from the starting position, and encoded using our Tree-Transformer module to fully extract the fine-grained historical information. Besides, as the spatial topology could be easily embedded in the trajectory tree, we further design a tree-based action space to allow the agent making long-range error-correction in one decision. We implement the holistic agent based on cross-modal transformer and train it with a newly-proposed Tree-nDTW reward. On the benchmark dataset R2R, our model achi"
VLN-Trans: Translator for the Vision and Language Navigation Agent,2023,arXiv (Cornell University),Yue Zhang; Parisa Kordjamshidi,2,10.48550/arxiv.2302.09230,2302.09230,33,preprint,True,https://openalex.org/W4321472076,openalex|s2,(s2 bulk)|vision-and-language navigation,"Language understanding is essential for the navigation agent to follow instructions. We observe two kinds of issues in the instructions that can make the navigation task challenging: 1. The mentioned landmarks are not recognizable by the navigation agent due to the different vision abilities of the instructor and the modeled agent. 2. The mentioned landmarks are applicable to multiple targets, thus not distinctive for selecting the target among the candidate viewpoints. To deal with these issues, we design a translator module for the navigation agent to convert the original instructions into easy-to-follow sub-instruction representations at each step. The translator needs to focus on the recognizable and distinctive landmarks based on the agent's visual abilities and the observed visual environment. To achieve this goal, we create a new synthetic sub-instruction dataset and design specific tasks to train the translator and the navigation agent. We evaluate our approach on Room2Room~(R2R), Room4room~(R4R), and Room2Room Last (R2R-Last) datasets and achieve state-of-the-art results on multiple benchmarks."
Vision-and-Language Navigation with Analogical Textual Descriptions in LLMs,2025,,Yue Zhang; Tianyi Ma; Zun Wang; Yanyuan Qiao et al.,5,10.18653/v1/2025.emnlp-main.759,,1,conference-paper,True,https://openalex.org/W4416036308,openalex,vision-and-language navigation,"Integrating large language models (LLMs) into embodied AI models is becoming increasingly prevalent.However, existing zero-shot LLMbased Vision-and-Language Navigation (VLN) agents either encode images as textual scene descriptions, potentially oversimplifying visual details, or process raw image inputs, which can fail to capture abstract semantics required for high-level reasoning.In this paper, we improve the navigation agent's contextual understanding by incorporating textual descriptions from multiple perspectives that facilitate analogical reasoning across images.By leveraging textbased analogical reasoning, the agent enhances its global scene understanding and spatial reasoning, leading to more accurate action decisions.We evaluate our approach on the R2R dataset, where our experiments demonstrate significant improvements in navigation performance."
BadNAVer: Exploring Jailbreak Attacks On Vision-and-Language Navigation,2025,arXiv (Cornell University),Wenqi Lyu; Zerui Li; Yanyuan Qiao; Qi Wu,4,10.48550/arxiv.2505.12443,2505.12443,1,preprint,True,https://openalex.org/W4417300691,arxiv|openalex|s2,vision-and-language navigation,"Multimodal large language models (MLLMs) have recently gained attention for their generalization and reasoning capabilities in Vision-and-Language Navigation (VLN) tasks, leading to the rise of MLLM-driven navigators. However, MLLMs are vulnerable to jailbreak attacks, where crafted prompts bypass safety mechanisms and trigger undesired outputs. In embodied scenarios, such vulnerabilities pose greater risks: unlike plain text models that generate toxic content, embodied agents may interpret malicious instructions as executable commands, potentially leading to real-world harm. In this paper, we present the first systematic jailbreak attack paradigm targeting MLLM-driven navigator. We propose a three-tiered attack framework and construct malicious queries across four intent categories, concatenated with standard navigation instructions. In the Matterport3D simulator, we evaluate navigation agents powered by five MLLMs and report an average attack success rate over 90%. To test real-world feasibility, we replicate the attack on a physical robot. Our results show that even well-crafted prompts can induce harmful actions and intents in MLLMs, posing risks beyond toxic output and potentially leading to physical harm."
A Global-Memory-Aware Transformer for Vision-and-Language Navigation,2024,"2024 5th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)",Le Wang; Xiaofeng Wu,2,10.1109/ainit61980.2024.10581832,,1,conference-paper,True,https://openalex.org/W4400526991,openalex|s2,vision-and-language navigation,"Vision-and-Language Navigation (VLN) needs an agent to navigate in 3D environments under the guidance of natural language instructions, continuously exploring until reaching a specified destination. Historical navigation memory plays a crucial role in indicating the current navigation progress, yet existing VLN methods often only incorporate representations of the immediate past time step, insufficient for capturing long-term temporal context. This paper introduces a Transformer network with a global historical context memory, which adaptively selects the most relevant episodes from history, encoding global memory information to effectively model long-term dependencies for VLN models. We evaluate the proposed model on the popular R2R dataset, achieving an absolute improvement of 3.7% in SR and 3.3% in SPL in seen environments. In novel environments, SR improved by 2.2%, and SPL increased by 0.83%. These results demonstrate the effectiveness of the proposed model in leveraging historical memory to significantly enhance navigation performance."
ESceme: Vision-and-Language Navigation with Episodic Scene Memory,2023,arXiv (Cornell University),Qi Zheng; Daqing Liu; Chaoyue Wang; Jing Zhang et al.,6,10.48550/arxiv.2303.01032,2303.01032,1,preprint,True,https://openalex.org/W4323066718,openalex,natural language navigation|vision-and-language navigation,"Vision-and-language navigation (VLN) simulates a visual agent that follows natural-language navigation instructions in real-world scenes. Existing approaches have made enormous progress in navigation in new environments, such as beam search, pre-exploration, and dynamic or hierarchical history encoding. To balance generalization and efficiency, we resort to memorizing visited scenarios apart from the ongoing route while navigating. In this work, we introduce a mechanism of Episodic Scene memory (ESceme) for VLN that wakes an agent's memories of past visits when it enters the current scene. The episodic scene memory allows the agent to envision a bigger picture of the next prediction. This way, the agent learns to utilize dynamically updated information instead of merely adapting to the current observations. We provide a simple yet effective implementation of ESceme by enhancing the accessible views at each location and progressively completing the memory while navigating. We verify the superiority of ESceme on short-horizon (R2R), long-horizon (R4R), and vision-and-dialog (CVDN) VLN tasks. Our ESceme also wins first place on the CVDN leaderboard. Code is available: \url{https://github.com/qizhust/esceme}."
Ambiguity Resolution in Vision-and-Language Navigation with Large Language Models,2024,"2024 IEEE 4th International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",Siyuan Wei; Chao Wang; Juntong Qi,3,10.1109/iciba62489.2024.10868019,,1,conference-paper,True,https://openalex.org/W4407361826,openalex|s2,vision-and-language navigation,"Vision-and-Language Navigation (VLN) represents a novel approach that integrates visual perception and language understanding, thereby enabling autonomous agents to navigate complex environments based on natural language instructions. While traditional methods have enhanced navigation success rates, they continue to encounter obstacles in cross-modal alignment, generalization, and real-time decision-making. In order to address these issues, in this paper, we propose a VLN approach based on large language models (LLMs), utilising LLMs as planners. By vectorising both predefined and generated commands and employing k-nearest neighbours algorithm to identify the optimal match, the method resolves command mismatches and enhances system performance. The results of the experimental study demonstrate that our method significantly improves navigation success rates and efficiency in dynamic environments."
Hijacking Vision-and-Language Navigation Agents with Adversarial Environmental Attacks,2025,IEEE Workshop/Winter Conference on Applications of Computer Vision,Zijiao Yang; Xiangxi Shi; Eric Slyman; Stefan Lee,4,10.1109/wacv61041.2025.00594,2412.02795,8,conference-paper,True,https://openalex.org/W4409262183,arxiv|openalex|s2,vision-and-language navigation,"Assistive embodied agents that can be instructed in natural language to perform tasks in open-world environments have the potential to significantly impact labor tasks like manufacturing or in-home care - benefiting the lives of those who come to depend on them. In this work, we consider how this benefit might be hijacked by local modifications in the appearance of the agent's operating environment. Specifically, we take the popular Vision-and-Language Navigation (VLN) task as a representative setting and develop a whitebox adversarial attack that optimizes a 3D attack object's appearance to induce desired behaviors in pretrained VLN agents that observe it in the environment. We demonstrate that the proposed attack can cause VLN agents to ignore their instructions and execute alternative actions after encountering the attack object - even for instructions and agent paths not considered when optimizing the attack. For these novel settings, we find our attacks can induce early-termination behaviors or divert an agent along an attacker-defined multi-step trajectory. Under both conditions, environmental attacks significantly reduce agent capabilities to successfully follow user instructions."
To Ask or Not to Ask? Detecting Absence of Information in Vision and Language Navigation,2025,IEEE Workshop/Winter Conference on Applications of Computer Vision,Savitha Sam Abraham; Sourav Garg; Feras Dayoub,3,10.1109/wacv61041.2025.00727,2411.05831,1,conference-paper,True,https://openalex.org/W4409262884,arxiv|openalex|s2,vision language navigation|vision-and-language navigation|vision-language navigation,"Recent research in Vision Language Navigation (VLN) has overlooked the development of agents' inquisitive abilities, which allow them to ask clarifying questions when instructions are incomplete. This paper addresses how agents can recognize “when” they lack sufficient information, without focusing on “what” is missing, particularly in VLN tasks with vague instructions. Equipping agents with this ability enhances efficiency by reducing potential digressions and seeking timely assistance. The challenge in identifying such uncertain points is balancing between being overly cautious (high recall) and overly confident (high precision). We propose an attention-based instruction-vagueness estimation module that learns associations between instructions and the agent's trajectory. By leveraging instruction-to-path alignment information during training, the module's vagueness estimation performance improves by around 52% in terms of precision-recall balance. In our ablative experiments, we also demonstrate the effectiveness of incorporating this additional instruction-to-path attention network alongside the cross-modal attention networks within the navigator module. Our results show that the attention scores from the instruction-to-path attention network serve as better indicators for estimating vagueness."
Fine-Grained Alignment Supervision Matters in Vision-and-Language Navigation,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,Keji He; Yun Huang; Ya Jing; Qi Wu et al.,5,10.1109/tpami.2026.3658949,,6,article,True,https://openalex.org/W7126038551,openalex|s2,vision-and-language navigation,"The Vision-and-Language Navigation (VLN) task involves an agent navigating within 3D indoor environments based on provided instructions. Achieving cross-modal alignment presents one of the most critical challenges in VLN, as the predicted trajectory needs to precisely align with the given instruction. This paper focuses on addressing cross-modal alignment in VLN from a fine-grained perspective. Firstly, to address the issue of weak cross-modal alignment supervision arising from coarse-grained data, we introduce a human-annotated fine-grained VLN dataset called Landmark-RxR. This dataset aims to offer precise, fine-grained supervision for VLN. Secondly, in order to comprehensively demonstrate the potential and advantage of the fine-grained data from Landmark-RxR, we explore the core components of the training process that depend on the characteristics of the training data. These components include data augmentation, training paradigm, reward shaping, and navigation loss design. Leveraging our fine-grained data, we carefully design methods for handling them and introduce a novel evaluation mechanism. The experimental results demonstrate that the fine-grained data can effectively improve the agent's cross-modal alignment ability."
